val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
2.430192708969116,0.2142857164144516,1756732544.0,0,19,,,,
,,,0,19,50121284.0,0.09278350323438644,,
2.782940626144409,0.2142857164144516,1756732544.0,1,39,,,,
,,,1,39,1567338.0,0.09793814271688461,,
10113176.0,0.1785714328289032,1756732544.0,2,59,,,,
,,,2,59,1090105.625,0.19072164595127106,,
8003412.5,0.0714285746216774,1756732544.0,3,79,,,,
,,,3,79,23424226.0,0.1340206116437912,,
2665428.25,0.0,1756732544.0,4,99,,,,
,,,4,99,7240683.0,0.11340206116437912,,
2152006.5,0.1785714328289032,1756732544.0,5,119,,,,
,,,5,119,2746144.5,0.07731958478689194,,
,,,6,120,,,43412.26953125,0.036363635212183
