val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
2.6456151008605957,0.1071428582072258,1756733312.0,0,19,,,,
,,,0,19,5.079829216003418,0.11340206116437912,,
2.6390573978424072,0.1428571492433548,1756733312.0,1,39,,,,
,,,1,39,2.6397669315338135,0.12886597216129303,,
2.6390573978424072,0.1428571492433548,1756733312.0,2,59,,,,
,,,2,59,2.639057159423828,0.14432989060878754,,
2.6390573978424072,0.1428571492433548,1756733312.0,3,79,,,,
,,,3,79,2.639057159423828,0.14432989060878754,,
2.6390573978424072,0.1428571492433548,1756733312.0,4,99,,,,
,,,4,99,2.639057159423828,0.14432989060878754,,
2.6390573978424072,0.1428571492433548,1756733312.0,5,119,,,,
,,,5,119,2.639057159423828,0.14432989060878754,,
2.6390573978424072,0.1428571492433548,1756733312.0,6,139,,,,
,,,6,139,2.639057159423828,0.14432989060878754,,
,,,7,140,,,2.639057159423828,0.072727270424366
