train_loss,train_acc,epoch,step,val_loss,val_acc,timestamp,test_loss,test_acc
2.621762752532959,0.06756756454706192,0,7,,,,,
2.414923906326294,0.29729729890823364,1,15,,,,,
,,2,23,2.591102361679077,0.10000000149011612,1756772992.0,,
2.29866099357605,0.3243243098258972,2,23,,,,,
2.2080812454223633,0.3918918967247009,3,31,,,,,
2.1598260402679443,0.3378378450870514,4,39,,,,,
,,5,47,2.2591171264648438,0.30000001192092896,1756772992.0,,
2.1137754917144775,0.28378379344940186,5,47,,,,,
2.0167386531829834,0.3378378450870514,6,55,,,,,
1.960969090461731,0.4189189076423645,7,63,,,,,
,,8,71,2.087259292602539,0.30000001192092896,1756772992.0,,
2.0011157989501953,0.3918918967247009,8,71,,,,,
1.930493712425232,0.3513513505458832,9,79,,,,,
1.971008062362671,0.3378378450870514,10,87,,,,,
,,11,95,1.9775454998016357,0.4000000059604645,1756772992.0,,
1.8643052577972412,0.4189189076423645,11,95,,,,,
1.843898892402649,0.4189189076423645,12,103,,,,,
1.8659077882766724,0.47297295928001404,13,111,,,,,
,,14,119,2.083873987197876,0.30000001192092896,1756772992.0,,
1.8636318445205688,0.44594594836235046,14,119,,,,,
1.8421614170074463,0.4324324429035187,15,127,,,,,
1.8452781438827515,0.4324324429035187,16,135,,,,,
,,17,143,2.121838331222534,0.30000001192092896,1756772992.0,,
1.8954917192459106,0.4054054021835327,17,143,,,,,
1.9044506549835205,0.3918918967247009,18,151,,,,,
1.7660847902297974,0.47297295928001404,19,159,,,,,
,,20,167,1.9189363718032837,0.4000000059604645,1756772992.0,,
1.7947288751602173,0.45945945382118225,20,167,,,,,
1.7729921340942383,0.44594594836235046,21,175,,,,,
1.8286542892456055,0.4324324429035187,22,183,,,,,
,,23,191,1.9758249521255493,0.30000001192092896,1756772992.0,,
1.8217705488204956,0.37837839126586914,23,191,,,,,
1.764675498008728,0.4324324429035187,24,199,,,,,
1.6653650999069214,0.5135135054588318,25,207,,,,,
,,26,215,1.9557628631591797,0.30000001192092896,1756772992.0,,
1.7183654308319092,0.47297295928001404,26,215,,,,,
1.7391623258590698,0.44594594836235046,27,223,,,,,
1.7690355777740479,0.5,28,231,,,,,
,,29,239,2.146555185317993,0.20000000298023224,1756772992.0,,
1.6291334629058838,0.5135135054588318,29,239,,,,,
1.696614384651184,0.47297295928001404,30,247,,,,,
1.6698625087738037,0.44594594836235046,31,255,,,,,
,,32,263,3.5660109519958496,0.10000000149011612,1756772992.0,,
1.6950687170028687,0.47297295928001404,32,263,,,,,
1.6415231227874756,0.45945945382118225,33,271,,,,,
1.654508113861084,0.5135135054588318,34,279,,,,,
,,35,287,1.7888342142105103,0.4000000059604645,1756772992.0,,
1.6553312540054321,0.5,35,287,,,,,
1.668565034866333,0.4324324429035187,36,295,,,,,
1.6224775314331055,0.47297295928001404,37,303,,,,,
,,38,311,1.7129987478256226,0.4000000059604645,1756772992.0,,
1.635756492614746,0.47297295928001404,38,311,,,,,
1.4973313808441162,0.5810810923576355,39,319,,,,,
1.6910426616668701,0.4324324429035187,40,327,,,,,
,,41,335,1.842492699623108,0.4000000059604645,1756772992.0,,
1.6031683683395386,0.4864864945411682,41,335,,,,,
1.7200511693954468,0.44594594836235046,42,343,,,,,
1.5607637166976929,0.5405405163764954,43,351,,,,,
,,44,359,4.865826606750488,0.10000000149011612,1756772992.0,,
1.622911810874939,0.5135135054588318,44,359,,,,,
1.618678092956543,0.5135135054588318,45,367,,,,,
1.5783122777938843,0.5,46,375,,,,,
,,47,383,1.7243967056274414,0.4000000059604645,1756772992.0,,
1.5446242094039917,0.5270270109176636,47,383,,,,,
1.5326273441314697,0.5135135054588318,48,391,,,,,
1.593169093132019,0.47297295928001404,49,399,,,,,
,,50,407,1.6140029430389404,0.4000000059604645,1756772992.0,,
1.5124832391738892,0.5945945978164673,50,407,,,,,
1.6354447603225708,0.5,51,415,,,,,
1.5366482734680176,0.5135135054588318,52,423,,,,,
,,53,431,1.9206146001815796,0.30000001192092896,1756772992.0,,
1.5005862712860107,0.4864864945411682,53,431,,,,,
1.5762608051300049,0.5,54,439,,,,,
1.5152573585510254,0.5135135054588318,55,447,,,,,
,,56,455,1.5546777248382568,0.5,1756772992.0,,
1.5506080389022827,0.5540540814399719,56,455,,,,,
1.5934804677963257,0.4864864945411682,57,463,,,,,
1.5134413242340088,0.4864864945411682,58,471,,,,,
,,59,479,2.3264083862304688,0.10000000149011612,1756772992.0,,
1.4125869274139404,0.5675675868988037,59,479,,,,,
1.5185844898223877,0.5135135054588318,60,487,,,,,
1.5255653858184814,0.47297295928001404,61,495,,,,,
,,62,503,1.7263532876968384,0.5,1756773120.0,,
1.4308574199676514,0.5405405163764954,62,503,,,,,
1.4328502416610718,0.5810810923576355,63,511,,,,,
1.4117019176483154,0.5675675868988037,64,519,,,,,
,,65,527,1.9926109313964844,0.20000000298023224,1756773120.0,,
1.5009044408798218,0.5540540814399719,65,527,,,,,
1.380063533782959,0.6081081032752991,66,535,,,,,
1.409231185913086,0.5405405163764954,67,543,,,,,
,,68,551,1.546802282333374,0.5,1756773120.0,,
1.4216210842132568,0.5405405163764954,68,551,,,,,
1.4667035341262817,0.5135135054588318,69,559,,,,,
1.5322582721710205,0.5405405163764954,70,567,,,,,
,,71,575,3.1074681282043457,0.10000000149011612,1756773120.0,,
1.3603078126907349,0.5945945978164673,71,575,,,,,
1.3734434843063354,0.5810810923576355,72,583,,,,,
1.3928709030151367,0.5945945978164673,73,591,,,,,
,,74,599,1.617527723312378,0.4000000059604645,1756773120.0,,
1.4175548553466797,0.5675675868988037,74,599,,,,,
