val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
2.813139730239775e+20,0.1071428582072258,1756732032.0,0,19,,,,
,,,0,19,1.1279467576888918e+20,0.09793814271688461,,
4.273550568709528e+19,0.1071428582072258,1756732032.0,1,39,,,,
,,,1,39,8.267718751238383e+19,0.10824742168188095,,
3.2067531501993984e+19,0.1071428582072258,1756732032.0,2,59,,,,
,,,2,59,4.841389830437234e+19,0.1340206116437912,,
5.210711564082542e+20,0.0357142873108387,1756732032.0,3,79,,,,
,,,3,79,8.205886615338772e+19,0.2010309249162674,,
1.932306187792144e+20,0.25,1756732032.0,4,99,,,,
,,,4,99,6.936566587690907e+20,0.22680412232875824,,
1.7421453878854943e+20,0.2142857164144516,1756732032.0,5,119,,,,
,,,5,119,2.002642386425626e+20,0.27319586277008057,,
1.1962217678444796e+20,0.1428571492433548,1756732032.0,6,139,,,,
,,,6,139,1.3735648130382378e+20,0.40721648931503296,,
4.741532624207269e+19,0.5714285969734192,1756732032.0,7,159,,,,
,,,7,159,4.528553263665198e+19,0.623711347579956,,
,,,8,160,,,8.455105439327689e+19,0.5090909004211426
