val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc
2.8062604818089666e+21,0.1428571492433548,1756731520.0,0,19,,
,,,0,19,3.289337688463979e+20,0.1494845300912857
3.025808852580953e+20,0.1428571492433548,1756731520.0,1,39,,
,,,1,39,1.06014861892041e+21,0.15463916957378387
3.5735116583575696e+20,0.3214285671710968,1756731520.0,2,59,,
,,,2,59,2.619393115051692e+20,0.27319586277008057
1.3446968273877231e+20,0.4642857015132904,1756731648.0,3,79,,
,,,3,79,1.1908535122730261e+20,0.2835051417350769
