val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
2.6382791996002197,0.0,1756772736.0,0,7,,,,
,,,0,7,2.6648976802825928,0.14864864945411682,,
2.616065502166748,0.20000000298023224,1756772736.0,1,15,,,,
,,,1,15,2.522050380706787,0.14864864945411682,,
2.562664747238159,0.20000000298023224,1756772736.0,2,23,,,,
,,,2,23,2.42307186126709,0.21621622145175934,,
2.486781597137451,0.10000000149011612,1756772736.0,3,31,,,,
,,,3,31,2.3285295963287354,0.2702702581882477,,
2.428013563156128,0.20000000298023224,1756772736.0,4,39,,,,
,,,4,39,2.247950553894043,0.2567567527294159,,
2.362616777420044,0.20000000298023224,1756772736.0,5,47,,,,
,,,5,47,2.189171314239502,0.2702702581882477,,
2.3083600997924805,0.4000000059604645,1756772736.0,6,55,,,,
,,,6,55,2.155217409133911,0.28378379344940186,,
2.278782367706299,0.30000001192092896,1756772736.0,7,63,,,,
,,,7,63,2.136683702468872,0.2702702581882477,,
2.2673096656799316,0.4000000059604645,1756772736.0,8,71,,,,
,,,8,71,2.1025683879852295,0.3378378450870514,,
2.292505979537964,0.4000000059604645,1756772736.0,9,79,,,,
,,,9,79,2.123258352279663,0.31081080436706543,,
,,,10,80,,,2.177659273147583,0.2380952388048172
