val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc
4.09711070634729e+20,0.1071428582072258,1756729600.0,0,19,,
,,,0,19,1.8908597011589418e+20,0.12886597216129303
6.23577974554927e+20,0.25,1756729600.0,1,39,,
,,,1,39,9.444483297434948e+20,0.2010309249162674
1.7250258686957196e+21,0.3571428656578064,1756729600.0,2,59,,
,,,2,59,1.216022987098307e+21,0.2525773048400879
1.345705545743324e+21,0.5357142686843872,1756729728.0,3,79,,
,,,3,79,2.2611703971349224e+21,0.34020617604255676
2.5503307666096862e+20,0.5,1756729728.0,4,99,,
,,,4,99,8.960838215014422e+20,0.3711340129375458
1.453115886682715e+20,0.6071428656578064,1756729728.0,5,119,,
,,,5,119,4.490935364480842e+20,0.3969072103500366
