val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
906333.0625,0.0357142873108387,1756732416.0,0,19,,,,
,,,0,19,96459976.0,0.14432989060878754,,
9227233.0,0.1428571492433548,1756732416.0,1,39,,,,
,,,1,39,1588347.25,0.1494845300912857,,
18450.822265625,0.1071428582072258,1756732416.0,2,59,,,,
,,,2,59,1375658.0,0.10824742168188095,,
7074844.5,0.1785714328289032,1756732416.0,3,79,,,,
,,,3,79,142719.75,0.11855670064687729,,
4341688.5,0.0,1756732416.0,4,99,,,,
,,,4,99,1107556.375,0.1649484485387802,,
5281287.0,0.1071428582072258,1756732416.0,5,119,,,,
,,,5,119,255471.828125,0.13917525112628937,,
4111456.0,0.1785714328289032,1756732416.0,6,139,,,,
,,,6,139,2170103.25,0.11855670064687729,,
8934083.0,0.0714285746216774,1756732416.0,7,159,,,,
,,,7,159,500748.375,0.1494845300912857,,
,,,8,160,,,3814.61962890625,0.1818181872367859
