0,Bat
1,Cockatoo
2,Crocodile
3,Dingo
4,Duck
5,Frog
6,FrogmouthTawny
7,Koala
8,Kookaburra
9,Magpie
10,Platypus
11,Possum
12,Snake
13,Wombat
14,water
15,bugs
16,other_birds
17,mid_noise
18,low_noise
