val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
2.657452344894409,0.0,1756771584.0,0,7,,,,
,,,0,7,2.6432666778564453,0.027027027681469917,,
2.6674344539642334,0.0,1756771584.0,1,15,,,,
,,,1,15,2.638834238052368,0.054054055362939835,,
2.6714565753936768,0.0,1756771584.0,2,23,,,,
,,,2,23,2.6413161754608154,0.04054053872823715,,
2.6726160049438477,0.0,1756771584.0,3,31,,,,
,,,3,31,2.638012647628784,0.04054053872823715,,
2.6801486015319824,0.0,1756771584.0,4,39,,,,
,,,4,39,2.634716033935547,0.054054055362939835,,
2.6947340965270996,0.0,1756771584.0,5,47,,,,
,,,5,47,2.634955644607544,0.054054055362939835,,
,,,6,48,,,2.6222164630889893,0.095238097012043
