val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
3.232311561869842e+20,0.0357142873108387,1756729344.0,0,19,,,,
,,,0,19,2.982318857616831e+20,0.11340206116437912,,
9.205211975044846e+20,0.1428571492433548,1756729344.0,1,39,,,,
,,,1,39,6.238593087941493e+20,0.11855670064687729,,
3.4493991376579356e+20,0.2142857164144516,1756729344.0,2,59,,,,
,,,2,59,3.375008819750518e+20,0.1649484485387802,,
6.453105449167661e+21,0.2857142984867096,1756729472.0,3,79,,,,
,,,3,79,3.5107740526422524e+21,0.32474225759506226,,
4.1700517799683686e+21,0.1785714328289032,1756729472.0,4,99,,,,
,,,4,99,2.7670118925314095e+21,0.3865979313850403,,
9.107973629590383e+20,0.5357142686843872,1756729472.0,5,119,,,,
,,,5,119,1.0918168759689166e+21,0.5051546096801758,,
,,,6,120,,,1.0196549250833732e+21,0.6181818246841431
