val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
36.83311080932617,0.1071428582072258,1756733056.0,0,19,,,,
,,,0,19,9913971507200.0,0.08762886375188828,,
26.042232513427734,0.0714285746216774,1756733056.0,1,39,,,,
,,,1,39,1033.70654296875,0.10309278219938278,,
2887.361328125,0.1071428582072258,1756733056.0,2,59,,,,
,,,2,59,89.5229263305664,0.11340206116437912,,
20.224576950073242,0.0,1756733056.0,3,79,,,,
,,,3,79,120.08605194091797,0.09793814271688461,,
42.33418655395508,0.0714285746216774,1756733056.0,4,99,,,,
,,,4,99,204.27288818359375,0.09278350323438644,,
44.848758697509766,0.0357142873108387,1756733056.0,5,119,,,,
,,,5,119,85.60922241210938,0.12371134012937546,,
20.877132415771484,0.0714285746216774,1756733056.0,6,139,,,,
,,,6,139,38.228294372558594,0.09793814271688461,,
40.67341995239258,0.0714285746216774,1756733056.0,7,159,,,,
,,,7,159,48.59624099731445,0.0670103058218956,,
17.891117095947266,0.1785714328289032,1756733056.0,8,179,,,,
,,,8,179,1574.012939453125,0.07731958478689194,,
32.29982376098633,0.0714285746216774,1756733056.0,9,199,,,,
,,,9,199,4968.69140625,0.0824742242693901,,
38.7721061706543,0.0,1756733056.0,10,219,,,,
,,,10,219,31.304101943969727,0.07731958478689194,,
29.19968605041504,0.1428571492433548,1756733056.0,11,239,,,,
,,,11,239,18162.103515625,0.08762886375188828,,
32.126678466796875,0.1785714328289032,1756733056.0,12,259,,,,
,,,12,259,40.60451126098633,0.1340206116437912,,
46.86452865600586,0.0,1756733056.0,13,279,,,,
,,,13,279,38.570335388183594,0.05154639109969139,,
,,,14,280,,,45.04486846923828,0.036363635212183
