train_loss,train_acc,epoch,step,val_loss,val_acc,timestamp,test_loss,test_acc
0.6611971259117126,0.0,0,7,,,,,
0.5485343933105469,0.0,1,15,,,,,
,,2,23,0.5901309251785278,0.0,1756774400.0,,
0.4555855393409729,0.0,2,23,,,,,
0.38532787561416626,0.0,3,31,,,,,
0.3342050611972809,0.0,4,39,,,,,
,,5,47,0.3420478105545044,0.0,1756774400.0,,
0.29972580075263977,0.0,5,47,,,,,
0.27569276094436646,0.0,6,55,,,,,
0.2589079439640045,0.0,7,63,,,,,
,,8,71,0.2757151424884796,0.0,1756774400.0,,
0.2521853446960449,0.0,8,71,,,,,
0.2451092004776001,0.0,9,79,,,,,
0.2371964007616043,0.0,10,87,,,,,
,,11,95,0.2539379596710205,0.0,1756774400.0,,
0.2349061220884323,0.0,11,95,,,,,
0.23333382606506348,0.0,12,103,,,,,
0.22740688920021057,0.0,13,111,,,,,
,,14,119,0.23383364081382751,0.0,1756774400.0,,
0.22548897564411163,0.0,14,119,,,,,
0.2242940217256546,0.0,15,127,,,,,
0.22195886075496674,0.0,16,135,,,,,
,,17,143,0.23621389269828796,0.0,1756774400.0,,
0.2184489667415619,0.0,17,143,,,,,
0.22002920508384705,0.0,18,151,,,,,
0.21882322430610657,0.0,19,159,,,,,
,,20,167,0.22528119385242462,0.0,1756774400.0,,
0.21520425379276276,0.0,20,167,,,,,
0.21444343030452728,0.0,21,175,,,,,
0.2166510373353958,0.0,22,183,,,,,
,,23,191,0.21689097583293915,0.0,1756774400.0,,
0.21602654457092285,0.0,23,191,,,,,
0.21250019967556,0.0,24,199,,,,,
0.21385157108306885,0.0,25,207,,,,,
,,26,215,0.2156953364610672,0.0,1756774400.0,,
0.2101197987794876,0.0,26,215,,,,,
0.21017161011695862,0.0,27,223,,,,,
0.20733578503131866,0.0,28,231,,,,,
,,29,239,0.23161384463310242,0.0,1756774400.0,,
0.2137533277273178,0.0,29,239,,,,,
0.20976896584033966,0.0,30,247,,,,,
0.20853105187416077,0.0,31,255,,,,,
,,32,263,0.22000977396965027,0.0,1756774400.0,,
0.20863372087478638,0.0,32,263,,,,,
0.2083432674407959,0.0,33,271,,,,,
0.2087206393480301,0.0,34,279,,,,,
,,35,287,0.20173093676567078,0.0,1756774400.0,,
0.20633406937122345,0.0,35,287,,,,,
0.20833276212215424,0.0,36,295,,,,,
0.20520511269569397,0.0,37,303,,,,,
,,38,311,0.21507377922534943,0.0,1756774400.0,,
0.203914076089859,0.0,38,311,,,,,
0.20757699012756348,0.0,39,319,,,,,
0.20604278147220612,0.0,40,327,,,,,
,,41,335,0.2495163381099701,0.0,1756774656.0,,
0.20393674075603485,0.0,41,335,,,,,
0.20517802238464355,0.0,42,343,,,,,
0.20641474425792694,0.0,43,351,,,,,
,,44,359,0.20832309126853943,0.0,1756774656.0,,
0.2050132006406784,0.0,44,359,,,,,
0.20539264380931854,0.0,45,367,,,,,
0.2087937891483307,0.0,46,375,,,,,
,,47,383,0.20864400267601013,0.0,1756774656.0,,
0.20813214778900146,0.0,47,383,,,,,
0.20268818736076355,0.0,48,391,,,,,
0.20554931461811066,0.0,49,399,,,,,
,,50,407,0.23368246853351593,0.0,1756774656.0,,
0.20526595413684845,0.0,50,407,,,,,
0.21050646901130676,0.0,51,415,,,,,
0.2063458114862442,0.0,52,423,,,,,
,,53,431,0.2190234661102295,0.0,1756774656.0,,
0.20628298819065094,0.0,53,431,,,,,
0.20848694443702698,0.0,54,439,,,,,
0.20519070327281952,0.0,55,447,,,,,
,,56,455,0.22296085953712463,0.0,1756774656.0,,
0.20099467039108276,0.0,56,455,,,,,
0.2067447304725647,0.0,57,463,,,,,
0.20786800980567932,0.0,58,471,,,,,
,,59,479,0.1985054910182953,0.0,1756774656.0,,
0.20600803196430206,0.0,59,479,,,,,
0.20264330506324768,0.0,60,487,,,,,
0.20315499603748322,0.0,61,495,,,,,
,,62,503,0.24079343676567078,0.0,1756774656.0,,
0.20587173104286194,0.0,62,503,,,,,
0.20461860299110413,0.0,63,511,,,,,
0.203789621591568,0.0,64,519,,,,,
,,65,527,0.22515960037708282,0.0,1756774656.0,,
0.20518505573272705,0.0,65,527,,,,,
0.2080330103635788,0.0,66,535,,,,,
0.20641282200813293,0.0,67,543,,,,,
,,68,551,0.21179719269275665,0.0,1756774656.0,,
0.20657075941562653,0.0,68,551,,,,,
0.2042844295501709,0.0,69,559,,,,,
0.20612139999866486,0.0,70,567,,,,,
,,71,575,0.21001186966896057,0.0,1756774656.0,,
0.20447231829166412,0.0,71,575,,,,,
0.20534977316856384,0.0,72,583,,,,,
0.20331868529319763,0.0,73,591,,,,,
,,74,599,0.20928725600242615,0.0,1756774656.0,,
0.20316188037395477,0.0,74,599,,,,,
0.20378872752189636,0.0,75,607,,,,,
0.20133918523788452,0.0,76,615,,,,,
,,77,623,0.1987917721271515,0.0,1756774656.0,,
0.2039206176996231,0.0,77,623,,,,,
0.20364172756671906,0.0,78,631,,,,,
0.20497840642929077,0.0,79,639,,,,,
,,80,647,0.23140046000480652,0.0,1756774656.0,,
0.20307707786560059,0.0,80,647,,,,,
0.2058831751346588,0.0,81,655,,,,,
0.20087690651416779,0.0,82,663,,,,,
,,83,671,0.21326923370361328,0.0,1756774656.0,,
0.20452100038528442,0.0,83,671,,,,,
0.20812907814979553,0.0,84,679,,,,,
0.20426374673843384,0.0,85,687,,,,,
,,86,695,0.18078914284706116,0.0,1756774656.0,,
0.20680871605873108,0.0,86,695,,,,,
0.20791703462600708,0.0,87,703,,,,,
0.206138476729393,0.0,88,711,,,,,
,,89,719,0.21250800788402557,0.0,1756774656.0,,
0.2038104236125946,0.0,89,719,,,,,
0.2090061902999878,0.0,90,727,,,,,
0.2060474306344986,0.0,91,735,,,,,
,,92,743,0.2015574872493744,0.0,1756774656.0,,
0.20838218927383423,0.0,92,743,,,,,
0.20595040917396545,0.0,93,751,,,,,
0.20372457802295685,0.0,94,759,,,,,
,,95,767,0.23218569159507751,0.0,1756774656.0,,
0.20451481640338898,0.0,95,767,,,,,
0.20601776242256165,0.0,96,775,,,,,
0.2047082632780075,0.0,97,783,,,,,
,,98,791,0.1986764669418335,0.0,1756774656.0,,
0.2038288414478302,0.0,98,791,,,,,
0.2053590565919876,0.0,99,799,,,,,
,,100,800,,,,0.24032194912433624,0.0
